Company,Slogan/Pitch,About,Website,Capital Seeking in USD,% Equity Stake,Approx. Company Valuation in USD,Business Rating,Investor,Network & Expertise
Parser.run,We extract data from websites.,"Simple, custom web scraping tools for researchers, growth hackers, marketing & sales teams.",https://parser.run/,190000,33,576000,4.5,No Investors,Open
CancerIQ,"Using Genetic Information to Predict, Pre-empt, and Prevent Cancer.","Our team has modeled proven cancer genetics workflows at top academic centers, and translated them into a suite of digital health tools. ancerIQ helps leading health systems maximize the clinical and financial value of using genetics in routine care. Together we can help to detect and prevent the deadliest and earliest onset cancers.",https://www.canceriq.com/,330000,10,3300000,3.8,"Anonymous Partner Investors A, B, & D","Sales/Marketing/Merchandising, Manufacturing/Distribution, & Supply Chain/Logistics"
Invitation codes,The referral community.,Invitation is the place for referral codes. Invitation App is a social network where people post their referral codes and collect rewards on autopilot.,https://invitation.codes/,30000,28,107000,4.7,"Anonymous Partner Investors A, B, C, & D","Sales/Marketing/Merchandising, Manufacturing/Distribution, Technology, & Supply Chain/Logistics"
YCharts,The Financial Terminal of The Web.,"YCharts is a financial software company that was founded in 2009 and is backed by Morningstar. YCharts provides the analytic power of a financial terminal (such as Bloomberg, FactSet, CapIQ), but with the ease of use and accessibility of a modern website.",https://ycharts.com/,200000,15,1333000,3.7,"Anonymous Partner Investors A, B, & C","Sales/Marketing/Merchandising, Manufacturing/Distribution, Technology"
Groupon,Daily Deals. Delivered.,"Groupon features a daily deal on the best stuff to do, see, eat, and buy in 45 countries, and soon beyond. We have about 10,000 employees working across our Chicago headquarters, a growing office in Seattle and Palo Alto, CA. Groupon is a place where customers can discover new experiences every day and local businesses thrive.",https://www.groupon.com/,400000,33,1212000,4.0,Anonymous Investor C,Technology
EVENTup,Largest online marketplace for Event Spaces.,Eventup is a marketplace that allows consumers to find both commercial venues and unique residential properties and book them for their event. We make the venue selection and booking process easier and provide access to experiences that were previously unattainable.,https://eventup.com/,180000,33,545000,4.9,"Anonymous Partner Investors B, C, & D","Manufacturing/Distribution, Technology, & Supply Chain/Logistics"
ParkWhiz,Click here. Park anywhere.,"ParkWhiz simplifies the parking experience by facilitating the advance purchase of parking for any driving occasion. Available on any device -- PC, tablet, or smartphone -- ParkWhiz features parking options and deals at over 1,500 locations nationwide.",https://www.parkwhiz.com/,230000,8,2875000,4.2,No Investors,Open
Food Genius,Feeding the foodservice Industry smarter data and analytics.,"We’re feeding the Foodservice Industry smarter data and analytics. Food Genius is a leading foodservice data provider specializing in gathering, preparing, and serving granular foodservice menu data and analytics. Food Genius supports foodservice manufacturers.",https://getfoodgenius.com/,470000,7,6714000,4.7,"Anonymous Partner Investors A, B, C, & D","Sales/Marketing/Merchandising, Manufacturing/Distribution, Technology, & Supply Chain/Logistics"
OpenAirplane,Making renting an airplane as easy as renting a car.,"We’re making a pilot certificate more useful. OpenAirplane makes it easy for Pilots to find, book, fly, and pay for aircraft rental online or with a mobile device. We’re helping Operators get better utilization of their fleets, and Pilots fly more.",https://www.openairplane.com/,140000,34,412000,3.8,Anonymous Partner Investors B & D,Manufacturing/Distribution & Supply Chain/Logistics
GiveForward,Crowdfunding for medical and life events.,"GiveForward lets anyone to create a free fundraising page for a friend or loved one’s uncovered medical bills, memorial fund, adoptions or any other life events in five minutes or less. Millions of families have used GiveForward to raise more than $165M.",https://www.giveforward.com/,220000,13,1692000,4.1,No Investors,Open
Rocketmiles,Fueling more vacations.,"We enable our customers to travel more, travel better and travel further. 20M+ consumers stock away miles & points to satisfy their wanderlust. Flying around or using credit cards are the only good ways to fill the stockpile today. We’ve built the third way. Book hotels, get rewarded. Earn thousands of miles or points per night from your favorite loyalty programs.",https://www.rocketmiles.com/rm/home/en/,430000,25,1720000,3.7,No Investors,Open
Classkick,Students Learn Together.,"Numbers - Launched fall 2014 - 150K downloads - Average 30% wk/wk growth - 50 states / 70 countries - 45K questions answered/week - Engine of growth: 65% of signups are word-of-mouth, 100% are organic, $0 spent marketing Created by teachers and engineers, Classkick: Helping Teachers Be Awesome. See all your students working and give high-quality feedback–from anywhere.",https://classkick.com/,410000,17,2412000,4.1,"Anonymous Partner Investors B, C, & D","Manufacturing/Distribution, Technology, & Supply Chain/Logistics"
Shortlist,LinkedIn for your event life.,"Shortlist connects you with the people you don’t know—but should—at conferences and trade shows. Our mobile-social platform ""accelerates serendipity"" to maximize everyone’s time and opportunity. Brands pay us to sponsor the app for their target events. The smartest, fastest way to manage your freelance workforce. Onboard, assign, and pay your freelancers from a single, user-friendly platform.",https://getshortlist.com/,450000,18,2500000,3.8,Anonymous Partner Investors A & D,Sales/Marketing/Merchandising & Supply Chain/Logistics
Narrative Science,The leader in automated narrative generation for the enterprise.,"Powered by artificial intelligence, Narrative Science Quill™ is an advanced natural language generation platform for the enterprise that creates data-driven communications at machine scale. It analyzes data from disparate sources and understands relationships hidden. No more dashboards. Bring data insights to everyone in your company in a way they actually understand with Data Storytelling in Lexio.",https://narrativescience.com/,100000,19,526000,4.5,Anonymous Investor D,Supply Chain/Logistics
Packback,Fearlessly curious.,"Pay-per-use etextbooks for $5 or less. Packback allows college students to ""pay per use"" for their digital textbooks by renting for $3-$5 per day, while enabling publishers to recoup revenue lost to the secondary used book market. Any money students spend on daily rentals can be directly converted towards an extended semester or year-long rental of that same digital title. Packback is a different kind of online discussion that teaches students how to ask effective, open-ended questions. Inspire self-motivated, critical thinkers through inquiry-driven discussion.",https://www.packback.co/,160000,26,615000,3.7,Anonymous Partner Investors C & D,Technology & Supply Chain/Logistics
Storymix Media,Turning photos and footage into amazing custom edited videos,"Millions of videos are taken at events like your child’s soccer game, SXSW, or the CES. Yet 99% of those videos are never seen, much less transformed into something of value. Enter VideoStitch. Easily crowdsource and access the video clips and photos from everyone. Crowdsourced content and automated video creation platform.",https://www.storymixmedia.com/,250000,33,758000,4.3,Anonymous Partner Investors B & D,Manufacturing/Distribution & Supply Chain/Logistics
Opternative,The First Online Eye Exam,"Opternative’s mission is to help the world see and feel better. Opternative has developed the first online eye exam that delivers a prescription, signed by an ophthalmologist, for glasses and contact lenses. The exam takes 15 minutes. The quickest way to renew your prescription. Get your eyes checked and renew your vision prescription from the comfort of your home.",https://govisibly.com/lite-site/opternative/,240000,29,828000,4.9,"Anonymous Partner Investors A, B, & D","Sales/Marketing/Merchandising, Manufacturing/Distribution, & Supply Chain/Logistics"
Shiftgig,Transforming the Way People Work.,"Shiftgig provides staffing agencies with on-demand staffing software to grow and scale their business. Our software solutions empower your workforce with flexibility and choice while allowing you to deliver powerful strategic insights to your clients. Shiftgig is the service industry community, a platform that allows employers and candidates to show needs, skills, and availability to connect more efficiently. Launched in early 2012, over 100,000 service industry people 4,000 businesses have connected.",https://www.shiftgig.com/,160000,22,727000,3.7,Anonymous Investor D,Supply Chain/Logistics
Visible,Your investor relationship hub.,"Update investors, raise capital and track metrics from a single platform. Data sharing for startups and their investors. Visible simplifies the sharing, management, and reporting of data between startups and investors. Visible was launched by a group of founders and investors that had been struggling with the vexing, but all too common, problems of tracking investment performance.",https://www.visible.vc/,270000,22,1227000,4.3,Anonymous Partner Investors C & D,Technology & Supply Chain/Logistics
Fooda,"Food at work: powered by local restaurants, loved by employees",Fooda is a food technology platform that connects restaurants to people while at work. Companies and individuals join Fooda to get food brought right to their office everyday.,https://www.fooda.com/,380000,34,1118000,4.0,"Anonymous Partner Investors A, C, & D","Sales/Marketing/Merchandising, Technology, & Supply Chain/Logistics"
Cloudbot,Your apps. Simplified.,Helping you maintain your relationships across multiple networks through a social address book and unified inbox. Cloudbot is a mobile and web application that is an efficient solution to having your personal data and relationships scattered around on different services. People rely on different applications to access the little bits of their lives saved in the cloud.,http://cloudbot.com/,290000,14,2071000,4.1,No Investors,Open
Raise,Save more everywhere you shop.,"Changing the World of Gift Cards - Incentive Marketing, Brand Enterprise Software & Beyond. Raise is a C2C gift card marketplace where members can sell gift cards for cash or save on gift cards to their favorite stores. Raise helps buyers increase their purchase power and allows sellers to raise their earning potential. Unlock discounted and cash back gift cards, coupons, and today’s best offers with Raise.",https://www.raise.com/,330000,18,1833000,4.4,"Anonymous Partner Investors A, B, & C","Sales/Marketing/Merchandising, Manufacturing/Distribution, Technology"
FourKites,Real-Time Visibility for Your Entire Supply Chain,"Enterprise Cloud for Logistics and Supply Chain Management. FourKites is reinventing the complex and labor intensive communication systems in the Logistics and Transportation Industry by providing a cost-effective, real-time and easy-to-use cloud based software solution. The #1 Global Supply Chain Visibility Platform, trusted by the world’s most recognized brands, including Coca-Cola, Walmart, Dow and many more.",https://www.fourkites.com/,300000,8,3750000,4.7,"Anonymous Partner Investors A, B, & D","Sales/Marketing/Merchandising, Manufacturing/Distribution, & Supply Chain/Logistics"
Sprout Social,Reimagine the role of social in your business,"Sprout is a social media management platform used by leading companies across the globe. Sprout’s Social Media Management platform is used by thousands of leading countries around the world to more effectively manage social channels, audience engagement, social relationship management and reporting/analytics.",https://sproutsocial.com/,110000,5,2200000,4.6,"Anonymous Partner Investors A, C, & D","Sales/Marketing/Merchandising, Technology, & Supply Chain/Logistics"
SpotHero,Find and Book Parking in Seconds.,"SpotHero is an on-demand app for parking that allows drivers to reserve their perfect spot right from the web and their phones. We partner with garages, lots and valets to get drivers discounted parking spots all across the US.",https://spothero.com/,280000,28,1000000,4.7,Anonymous Partner Investors B & D,Manufacturing/Distribution & Supply Chain/Logistics
